run_label,sae_release,sae_id,feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,100,Feature 100,0.8643585104366454,0.8943978674868397,0.8653520725975584,786312,186338,1572624,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,101,Feature 101,0.9044318216828408,0.927774775297573,0.9052074293570025,41912,9934,83824,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,102,Feature 102,0.8978172735582015,0.9217108536001692,0.9003738164216968,503692,122034,1007384,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,103,Feature 103,0.8975062138507014,0.9118983890916643,0.8966230236779915,102326,26295,204652,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,104,Feature 104,0.8936560360902791,0.9220496409000446,0.8939093880464449,178348,43465,356696,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,105,Feature 105,0.9175750686426131,0.9424683770669087,0.9189803386981928,321024,75107,642048,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,106,Feature 106,0.8213818132925536,0.8567534705414401,0.8199288210771938,161599,39860,323198,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,107,Feature 107,0.8124266046625135,0.8647633242442823,0.8142214369002525,911533,219742,1823066,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,108,Feature 108,0.8865728961750385,0.9102973046177212,0.8886367507665092,267456,67944,534912,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,109,Feature 109,0.9283823503822278,0.9493000995791161,0.9285007254620129,175638,42055,351276,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,110,Feature 110,0.8736951438015467,0.9030955479022973,0.8729879707547389,567632,137429,1135264,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,111,Feature 111,0.9069209145640997,0.9277324580447083,0.9071234828053047,873796,212880,1747592,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,112,Feature 112,0.8924492804992394,0.9170805035211065,0.8917670380869767,163158,39041,326316,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,113,Feature 113,0.9330465292265867,0.9493028330654043,0.9318173459469998,308500,75742,617000,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,114,Feature 114,0.9040496795200611,0.9248805701809388,0.9052286382362048,301912,74728,603824,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,115,Feature 115,0.9212362948519845,0.9467510181451899,0.9214545867530733,208845,51260,417690,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,116,Feature 116,0.9064755350528942,0.9297040133261885,0.9067546701875585,87529,20855,175058,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,117,Feature 117,0.920210070720119,0.939530089525627,0.9199989005106931,501797,125206,1003594,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,118,Feature 118,0.8766227550904926,0.8969417897871877,0.8771817294172,113924,25799,227848,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,119,Feature 119,0.9217281491446976,0.943121100644829,0.9216204663015164,352949,87666,705898,587141
gemma2_9b_layer20_width16k_l0_108,gemma-scope-9b-pt-mlp,layer_20/width_16k/average_l0_108,120,Feature 120,0.8742110262970321,0.9050832639601739,0.8833255287219717,337249,82075,674498,587141
