run_label,sae_release,sae_id,feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,249,expressions related to financial fraud and ethical considerations in investment practices,0.9079186409236917,0.9608848167824919,0.9072634622073397,2306,625,4612,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,500,Feature 500,0.8507525527173675,0.917813203159283,0.8413988156700986,23889,5598,47778,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,501,Feature 501,0.7034954332112009,0.7694574574206956,0.7036164018957335,14820,3950,29640,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,502,Feature 502,0.9225594712160483,0.9556075415523045,0.9262604740336152,1178,228,2356,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,503,Feature 503,0.7619248923007785,0.832858352553097,0.7751109698846443,40339,9487,80678,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,504,Feature 504,0.8487385933570754,0.8880050642976697,0.8491745390242502,7837,1941,15674,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,505,Feature 505,0.9042953538092982,0.945777314030168,0.9046354038858864,3573,944,7146,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,506,Feature 506,0.8592141567494562,0.8714940608466546,0.8548937199998686,11823,2960,23646,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,507,Feature 507,0.9907207632378214,0.9936900756049536,0.9897766054160274,1068,245,2136,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,508,Feature 508,0.9709251857424698,0.9836955200241946,0.9709295144210577,3723,801,7446,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,509,Feature 509,0.9899420090545301,0.9928567172093825,0.99028801022946,725,178,1450,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,510,Feature 510,0.9826598969623647,0.9922163481285136,0.9832729708579931,5665,1515,11330,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,511,Feature 511,0.7500640008743036,0.8052279313634559,0.7418614790705146,23989,5261,47978,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,512,Feature 512,0.992508090145532,0.9971719966878007,0.9936331167292696,177,109,354,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,513,Feature 513,0.893101414332939,0.9474887559588905,0.9022903615458006,2005,425,4010,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,514,Feature 514,0.9734271545471542,0.9758052800021444,0.9724793283591286,11896,3175,23792,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,515,Feature 515,0.731440267842995,0.9005606652774883,0.7468709656880302,23424,4154,46848,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,516,Feature 516,0.7740244241135412,0.8619178909426839,0.7711705428629401,2689,627,5378,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,517,Feature 517,0.8559585256846995,0.9051045676986602,0.8570025137571863,9011,2092,18022,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,518,Feature 518,0.7599233289077943,0.8000814887486206,0.7452732242761989,20819,4804,41638,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,519,Feature 519,0.9887827032937812,0.9958704541227947,0.9883220557153807,2795,584,5590,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,520,Feature 520,0.8688432431592864,0.9280463897026443,0.8666406672783381,977,305,1954,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,521,Feature 521,0.82927266650744,0.8770371386494221,0.8231113223111517,1671,433,3342,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,522,Feature 522,0.8331054052355867,0.8835113014035136,0.8330750193344925,21699,5141,43398,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,523,Feature 523,0.9322681785900324,0.9662878310239388,0.9261780694047624,291,73,582,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,524,Feature 524,0.9033718595502723,0.9328705187075351,0.903285108720413,36031,8714,72062,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,525,Feature 525,0.7845957861266948,0.8500870733878247,0.7766934132564167,9159,2219,18318,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,526,Feature 526,0.9910932750224482,0.9935118703777142,0.9916953969355047,1626,464,3252,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,527,Feature 527,0.9297910371442627,0.9522301583374839,0.9192893287244598,3449,618,6898,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,528,Feature 528,0.7608186595390429,0.8413790665825895,0.7604070357122077,17397,4160,34794,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,529,Feature 529,0.9923222757547884,0.9988080146060673,0.9920824925860827,3947,969,7894,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,530,Feature 530,0.8457501307990247,0.8924058042070102,0.8449377443229924,4670,1394,9340,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,531,Feature 531,0.7016339133678927,0.8457493240772158,0.7025593293909959,27226,5941,54452,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,532,Feature 532,0.6554937901868708,0.787574723152616,0.6632290159973792,13320,3607,26640,587141
