run_label,sae_release,sae_id,feature_id,feature_name,max_activation,threshold,threshold_strategy,train_token_count_filtered,test_token_count_filtered,train_activation_mean,train_activation_std,train_activation_p95,train_activation_p99,test_activation_mean,test_activation_std,test_activation_p95,test_activation_p99,train_positive_count_filtered,test_positive_count_filtered,train_positive_fraction_filtered,test_positive_fraction_filtered,activating_examples_count,probe_a_auc_filtered,probe_b_auc_filtered,probe_c_auc_filtered,probe_a_auc_unfiltered,probe_b_auc_unfiltered,probe_c_auc_unfiltered,train_positive_fraction_unfiltered,test_positive_fraction_unfiltered,train_token_count_unfiltered,test_token_count_unfiltered,balanced_train_size_filtered,balanced_train_size_unfiltered,notes
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,249,expressions related to financial fraud and ethical considerations in investment practices,91.125,9.1125,dynamic_0.1_max,2413143,587141,0.07352014631032944,1.2376585006713867,0.0,0.0,0.08716274052858353,1.3907748460769653,0.0,0.0,8158,2325,0.003380653363683793,0.003959866539723848,15,0.9235062762503298,0.947116501747595,0.9264836862207263,0.9235062762503298,0.947116501747595,0.9264836862207263,0.003380653363683793,0.003959866539723848,2413143.0,587141.0,16316.0,16316.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,500,Feature 500,69.0,6.9,dynamic_0.1_max,2413143,587141,0.037747133523225784,0.992521345615387,0.0,0.0,0.04406290128827095,1.0950758457183838,0.0,0.0,3713,1052,0.0015386572615050166,0.0017917331611997799,15,0.9333740397867265,0.9353725099317408,0.9351125189547543,0.9333740397867265,0.9353725099317408,0.9351125189547543,0.0015386572615050166,0.0017917331611997799,2413143.0,587141.0,7426.0,7426.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,501,Feature 501,107.25,10.725000000000001,dynamic_0.1_max,2413143,587141,0.01155503373593092,0.46960797905921936,0.0,0.0,0.011645693331956863,0.4615994393825531,0.0,0.0,777,190,0.0003219867202233767,0.0003236019967946371,15,0.8353676479225515,0.8360626310687281,0.830549169844627,0.8353676479225515,0.8360626310687281,0.830549169844627,0.0003219867202233767,0.0003236019967946371,2413143.0,587141.0,1554.0,1554.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,502,Feature 502,172.75,17.275000000000002,dynamic_0.1_max,2413143,587141,0.026324518024921417,1.4125102758407593,0.0,0.0,0.028922274708747864,1.4936070442199707,0.0,0.0,835,220,0.0003460217649762157,0.0003746970489201061,15,0.9871847860583993,0.9848822576555525,0.9842083284865192,0.9871847860583993,0.9848822576555525,0.9842083284865192,0.0003460217649762157,0.0003746970489201061,2413143.0,587141.0,1670.0,1670.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,503,Feature 503,125.1875,12.51875,dynamic_0.1_max,2413143,587141,0.11803698539733887,2.6363792419433594,0.0,0.0,0.1217261254787445,2.6610312461853027,0.0,0.0,4289,1105,0.0017773501197401065,0.001882001086621442,15,0.9896219338709722,0.9868866464089784,0.9893494420014474,0.9896219338709722,0.9868866464089784,0.9893494420014474,0.0017773501197401065,0.001882001086621442,2413143.0,587141.0,8578.0,8578.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,504,Feature 504,79.9375,7.99375,dynamic_0.1_max,2413143,587141,0.19371409714221954,1.6541118621826172,0.0,9.46875,0.20218263566493988,1.7224373817443848,0.0,9.6875,33261,8327,0.013783269371106478,0.014182283301626014,15,0.7659869965447236,0.8475027801338203,0.7683671744896956,0.7659869965447236,0.8475027801338203,0.7683671744896956,0.013783269371106478,0.014182283301626014,2413143.0,587141.0,66522.0,66522.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,505,Feature 505,105.0,10.5,dynamic_0.1_max,2413143,587141,0.07409045100212097,1.1600830554962158,0.0,0.0,0.07807837426662445,1.2125003337860107,0.0,0.0,6551,1673,0.002714716865100825,0.0028494007401969885,15,0.7484470089925475,0.8163143636137626,0.7587749449874812,0.7484470089925475,0.8163143636137626,0.7587749449874812,0.002714716865100825,0.0028494007401969885,2413143.0,587141.0,13102.0,13102.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,506,Feature 506,208.875,20.887500000000003,dynamic_0.1_max,2413143,587141,0.009460289031267166,0.9528927206993103,0.0,0.0,0.007730175741016865,0.7915873527526855,0.0,0.0,144,30,5.967321455877252e-05,5.109505212546901e-05,15,0.9302670761292726,0.9413622807271538,0.9316330302106417,0.9302670761292726,0.9413622807271538,0.9316330302106417,5.967321455877252e-05,5.109505212546901e-05,2413143.0,587141.0,288.0,288.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,507,Feature 507,67.125,6.7125,dynamic_0.1_max,2413143,587141,0.008170581422746181,0.36440029740333557,0.0,0.0,0.0076466272585093975,0.37238603830337524,0.0,0.0,1624,350,0.0006729812530794901,0.0005961089414638052,15,0.7211320531014085,0.8186574046685398,0.7195958892153619,0.7211320531014085,0.8186574046685398,0.7195958892153619,0.0006729812530794901,0.0005961089414638052,2413143.0,587141.0,3248.0,3248.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,508,Feature 508,91.25,9.125,dynamic_0.1_max,2413143,587141,0.006719892844557762,0.3485909402370453,0.0,0.0,0.00734924478456378,0.3317982852458954,0.0,0.0,727,223,0.0003012668540571363,0.00037980655413265296,15,0.8078053836811483,0.8896360446804303,0.8038121290791693,0.8078053836811483,0.8896360446804303,0.8038121290791693,0.0003012668540571363,0.00037980655413265296,2413143.0,587141.0,1454.0,1454.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,509,Feature 509,137.625,13.762500000000001,dynamic_0.1_max,2413143,587141,0.05159587413072586,1.4591397047042847,0.0,0.0,0.053540270775556564,1.5042792558670044,0.0,0.0,2943,729,0.0012195713225449133,0.001241609766648897,15,0.9933768481074747,0.9961481712969923,0.9939416298434897,0.9933768481074747,0.9961481712969923,0.9939416298434897,0.0012195713225449133,0.001241609766648897,2413143.0,587141.0,5886.0,5886.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,510,Feature 510,86.375,8.637500000000001,dynamic_0.1_max,2413143,587141,0.12114579230546951,2.3430092334747314,0.0,0.0,0.12444793432950974,2.388338565826416,0.0,0.0,8322,2051,0.003448614524709062,0.003493198396977898,15,0.9396254151984301,0.9542427819865841,0.9389048240454142,0.9396254151984301,0.9542427819865841,0.9389048240454142,0.003448614524709062,0.003493198396977898,2413143.0,587141.0,16644.0,16644.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,511,Feature 511,140.625,14.0625,dynamic_0.1_max,2413143,587141,0.09785240888595581,1.4392114877700806,0.0,0.0,0.09004960209131241,1.3816226720809937,0.0,0.0,4984,1088,0.002065356259450849,0.0018530472237503427,15,0.768584086508789,0.784863195217939,0.770949368499697,0.768584086508789,0.784863195217939,0.770949368499697,0.002065356259450849,0.0018530472237503427,2413143.0,587141.0,9968.0,9968.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,512,Feature 512,101.125,10.1125,dynamic_0.1_max,2413143,587141,0.1110726073384285,1.4553354978561401,0.0,0.0,0.08698580414056778,1.2512314319610596,0.0,0.0,10881,2057,0.004509057275097248,0.003503417407402992,15,0.8406662212125111,0.8851337754386394,0.8393118922476616,0.8406662212125111,0.8851337754386394,0.8393118922476616,0.004509057275097248,0.003503417407402992,2413143.0,587141.0,21762.0,21762.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,513,Feature 513,150.125,15.012500000000001,dynamic_0.1_max,2413143,587141,0.045450128614902496,1.304580807685852,0.0,0.0,0.04675516113638878,1.3287584781646729,0.0,0.0,3502,865,0.0014512194262834817,0.0014732406696176899,15,0.9953878427398927,0.9973456789295752,0.9954287465545731,0.9953878427398927,0.9973456789295752,0.9954287465545731,0.0014512194262834817,0.0014732406696176899,2413143.0,587141.0,7004.0,7004.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,514,Feature 514,70.75,7.075,dynamic_0.1_max,2413143,587141,0.14156104624271393,1.9130009412765503,0.0,0.0,0.13019220530986786,1.8683478832244873,0.0,0.0,20364,4426,0.008438787092186414,0.007538223356910861,15,0.7719609667662736,0.8430455549553497,0.7636121670030201,0.7719609667662736,0.8430455549553497,0.7636121670030201,0.008438787092186414,0.007538223356910861,2413143.0,587141.0,40728.0,40728.0,unfiltered_not_run_no_padding
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,515,Feature 515,190.25,19.025000000000002,dynamic_0.1_max,2413143,587141,0.021012980490922928,0.7270292043685913,0.0,0.0,0.020306769758462906,0.6148661375045776,0.0,0.0,87,11,3.60525671292584e-05,1.8734852446005305e-05,15,0.9394153842342489,0.9971890227191438,0.9352182341528824,0.9394153842342489,0.9971890227191438,0.9352182341528824,3.60525671292584e-05,1.8734852446005305e-05,2413143.0,587141.0,174.0,174.0,unfiltered_not_run_no_padding
