run_label,sae_release,sae_id,feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,249,expressions related to financial fraud and ethical considerations in investment practices,0.9235062762503298,0.947116501747595,0.9264836862207263,8158,2325,16316,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,500,Feature 500,0.9333740397867265,0.9353725099317408,0.9351125189547543,3713,1052,7426,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,501,Feature 501,0.8353676479225515,0.8360626310687281,0.830549169844627,777,190,1554,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,502,Feature 502,0.9871847860583993,0.9848822576555525,0.9842083284865192,835,220,1670,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,503,Feature 503,0.9896219338709722,0.9868866464089784,0.9893494420014474,4289,1105,8578,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,504,Feature 504,0.7659869965447236,0.8475027801338203,0.7683671744896956,33261,8327,66522,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,505,Feature 505,0.7484470089925475,0.8163143636137626,0.7587749449874812,6551,1673,13102,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,506,Feature 506,0.9302670761292726,0.9413622807271538,0.9316330302106417,144,30,288,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,507,Feature 507,0.7211320531014085,0.8186574046685398,0.7195958892153619,1624,350,3248,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,508,Feature 508,0.8078053836811483,0.8896360446804303,0.8038121290791693,727,223,1454,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,509,Feature 509,0.9933768481074747,0.9961481712969923,0.9939416298434897,2943,729,5886,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,510,Feature 510,0.9396254151984301,0.9542427819865841,0.9389048240454142,8322,2051,16644,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,511,Feature 511,0.768584086508789,0.784863195217939,0.770949368499697,4984,1088,9968,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,512,Feature 512,0.8406662212125111,0.8851337754386394,0.8393118922476616,10881,2057,21762,587141
