feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc
29007,This detector,0.9059876373115691,0.9770446657612796,0.9102734640677247
29004,Medical/Physiological,0.9977449996391999,0.9986535597845696,0.9926281988205118
27861,Possessive pronouns,0.9975884730275875,0.9984122298365842,0.9970275874187313
17939,Healthcare/Medical treatments,0.921010075291016,0.9627951917018072,0.9145951746962044
22326,negative descriptors associated with inappropriate behavior,0.8618472921461475,0.9502841852613526,0.8422145259368506
249,expressions related to financial fraud and ethical considerations in investment practices,0.8472603401803845,0.9330426526976019,0.8341532329407095
500,Feature 500,0.9921204681586046,0.9970522502882992,0.9914286017719653
502,Feature 502,0.972245564662934,0.9664449408129729,0.9723951312151298
503,Feature 503,0.932003149141367,0.9089249792324547,0.9229181078523029
506,Feature 506,0.9722686593501018,0.9922340112560568,0.9648927641194229
507,Feature 507,0.9700672959143355,0.9813693792476688,0.9673248577524893
516,Feature 516,0.8875118392736977,0.9667546634210218,0.8859512849837727
517,Feature 517,0.9357540690008068,0.9636894570073409,0.9576764873747811
523,Feature 523,0.9131048276221377,0.944669470405886,0.9025418896584859
525,Feature 525,0.6817646219545794,0.7855905852717755,0.8613263569095131
526,Feature 526,0.9995867321335445,0.9998491244297067,0.9995867321335445
527,Feature 527,0.9906872724453175,0.9941957107516456,0.9832652756294559
530,Feature 530,0.8771241058338499,0.8018025996005156,0.9121134299573949
531,Feature 531,0.99028337696767,0.9958813653714452,0.9784755548718918
533,Feature 533,0.9168447645484873,0.8990366164473879,0.8749439763255805
537,Feature 537,0.566711928447029,0.8287333589160788,0.42221861439914987
540,Feature 540,0.9997406073864331,0.9996953835613036,0.9997392014644084
541,Feature 541,0.9864309621783387,0.9956875233801264,0.9708486739776734
545,Feature 545,0.9424586741198506,0.9561395098259385,0.9387049317224588
552,Feature 552,0.7776458062018978,0.9100984338197803,0.7774785162133232
560,Feature 560,0.937302573827929,0.9663429943689124,0.9261236721964482
573,Feature 573,0.9752144569799098,0.9844483824407686,0.9712070557484389
585,Feature 585,0.9364614751551446,0.9586482725121432,0.9243378504651646
589,Feature 589,0.9998044351127369,0.9998232078838348,0.9997082018783707
598,Feature 598,0.8242915457875002,0.9115982880350473,0.8091888366956778
