feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc
29007,This detector,0.907653957429221,0.9649701642901426,0.9673266687332094
29004,Medical/Physiological,1.0,0.9999774006921845,1.0
27861,Possessive pronouns,0.9960226245512539,0.9968081992475701,0.9960226245512539
17939,Healthcare/Medical treatments,0.9061809630589708,0.9590881084758117,0.9043363065869863
22326,negative descriptors associated with inappropriate behavior,0.8122407233061159,0.9313638100858509,0.8020005599340488
249,expressions related to financial fraud and ethical considerations in investment practices,0.8182244929182227,0.9165470660365744,0.8117581480099826
500,Feature 500,0.9863608764178488,0.9959414270891555,0.9905472783967515
502,Feature 502,0.8984043766652462,0.9244973592799679,0.896648200996027
503,Feature 503,0.8940351405838589,0.9454323698011952,0.8871433388576799
506,Feature 506,0.9620413742072085,0.9889559512843935,0.9552840151556541
507,Feature 507,0.9679050808733805,0.9792263093204965,0.9643614444556314
516,Feature 516,0.790040131605632,0.883474277381131,0.7867654793672894
517,Feature 517,0.8516039465867707,0.880733269623163,0.8500761939199835
523,Feature 523,0.9472141121288853,0.9180381693659398,0.9474540727019357
525,Feature 525,0.8742842753651262,0.8623768385438861,0.8626699724944795
526,Feature 526,0.9995932492284648,0.9999999999999999,0.9995932492284647
527,Feature 527,0.9792717190241947,0.9920144606715353,0.9801049743497114
530,Feature 530,0.8868458091757809,0.9204318014539726,0.8832689849308524
531,Feature 531,0.9917611185370677,0.9966724547930189,0.9833599299230885
533,Feature 533,0.9096924873491631,0.8876044858585505,0.9101739847507374
537,Feature 537,0.8422129824516096,0.8977957981999665,0.8436979455857857
540,Feature 540,0.9986459408525505,0.9995956697923609,0.9990731201874026
541,Feature 541,0.9696983852087634,0.9953443201666119,0.9559769062328063
545,Feature 545,0.9558554782952422,0.9674969455224952,0.9454702547793589
552,Feature 552,0.8051407400051646,0.8587037258271998,0.8023730003120015
560,Feature 560,0.9297794037889657,0.9630392149773199,0.9268478052960899
573,Feature 573,0.9710896629563117,0.9799508274680541,0.9685397234770272
585,Feature 585,0.9457911863405064,0.9664805217459917,0.9450091494687854
589,Feature 589,0.9996559587244405,0.9998737732521411,0.9996700491521086
598,Feature 598,0.6540258387253699,0.7976425714740816,0.6441191284919088
602,Feature 602,0.8501688520743054,0.9256094633102165,0.8499822303469885
604,Feature 604,0.7766122766122766,0.9517216230771217,0.798961481825932
605,Feature 605,0.8319911037342042,0.9104127930633146,0.8252216116487422
608,Feature 608,0.8539444050931697,0.8884803641554814,0.8537854546429924
609,Feature 609,0.07131051224771767,0.14228529369988252,0.07100060689797655
612,Feature 612,0.8192105081603055,0.8563730878934184,0.7945327217723254
617,Feature 617,0.6602445167726051,0.704173310252322,0.6147348011888404
625,Feature 625,0.9949935159215362,0.9958136549091583,0.9942366236261724
627,Feature 627,0.9376914893575305,0.9666121220747963,0.9324643842637088
636,Feature 636,0.8825590779958677,0.889530604338843,0.8919695893595042
639,Feature 639,0.9601800258403781,0.9913731979346153,0.950786844123555
644,Feature 644,0.9367028450302225,0.9771585928036141,0.9209507386875844
648,Feature 648,0.9999612603305785,0.9998127582644628,0.9999612603305785
649,Feature 649,0.9992316929871001,1.0,0.9992316929871002
650,Feature 650,0.7201931777053927,0.7336345070058425,0.7006123649242542
655,Feature 655,0.9872157328790612,0.995527200256482,0.9859643130848144
663,Feature 663,0.9092909768524066,0.9614698475224821,0.914117945807718
665,Feature 665,0.9970465539077036,0.9962241473752506,0.9973489260092429
666,Feature 666,0.9386744571877319,0.9692743256916757,0.9314251842454995
668,Feature 668,0.8758421854682639,0.9188235507455523,0.8725062377779365
679,Feature 679,0.9778532778518931,0.9905057755916888,0.9758912456394729
694,Feature 694,0.9419863711506249,0.986467813794733,0.9343532685960431
698,Feature 698,0.9980114406724946,0.997856487997624,0.9980114406724946
