feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc
29007,This detector,0.9182081419644724,0.9756419539479869,0.9416691574437751
29004,Medical/Physiological,0.9921268293914867,0.9991329199971378,0.9816124320752255
27861,Possessive pronouns,0.9964020535984877,0.9980652807642907,0.9962433074047884
17939,Healthcare/Medical treatments,0.9035176756884333,0.9527616251676614,0.9006337639804716
22326,negative descriptors associated with inappropriate behavior,0.8242060905300099,0.935628363897783,0.8102793352129294
249,expressions related to financial fraud and ethical considerations in investment practices,0.8119524177495687,0.9125220177605579,0.8061872601545197
500,Feature 500,0.9919306689431732,0.9979817945971534,0.9924449439815859
502,Feature 502,0.9678586761623356,0.9480705609010784,0.9680859661085436
503,Feature 503,0.927257308924934,0.8877518954842678,0.9197660044543695
506,Feature 506,0.9656791033784238,0.9900534870132194,0.9591319183679408
507,Feature 507,0.9670707432835441,0.9767512595337504,0.965403050800137
516,Feature 516,0.7747927547218234,0.8754913006724263,0.7712843431118424
517,Feature 517,0.8695904734243393,0.9577037214764677,0.8736516435363497
523,Feature 523,0.9046741906583047,0.9047525655712008,0.9026141562179164
525,Feature 525,0.5912131447692405,0.8748405833701622,0.5877785845065977
526,Feature 526,0.9994696701853629,0.9997264171591158,0.9994696701853629
527,Feature 527,0.9882060846662319,0.9939355582599033,0.9850625709745997
530,Feature 530,0.8120154549357307,0.9266395616050911,0.7429606808252734
531,Feature 531,0.9878573847103843,0.9979001404163801,0.9781186863783079
533,Feature 533,0.7541598359714741,0.8099792438707426,0.7521025913017124
537,Feature 537,0.4675938786332988,0.8043511199777773,0.46614182176317587
540,Feature 540,0.9996671153242424,0.9996000572549614,0.9996671153242422
541,Feature 541,0.9849010094884333,0.9947942488218424,0.9756801728385702
545,Feature 545,0.9340671673300044,0.9434103912471281,0.9286093686766492
552,Feature 552,0.802991459248311,0.8530157716216691,0.801529804704291
560,Feature 560,0.9215407594132385,0.9598303198379233,0.917614946493617
573,Feature 573,0.968636293120343,0.9754676718570692,0.9666566527403226
585,Feature 585,0.9317663508824268,0.9482967770581766,0.9279268724178481
589,Feature 589,0.9998079661533913,0.999848431263578,0.999272797528494
598,Feature 598,0.7346425865117454,0.8441253107509872,0.7234894510841388
