feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
249,expressions related to financial fraud and ethical considerations in investment practices,0.8903022565466417,0.9073182916141478,0.8835586234329136,1148,285,2296,97493
500,Feature 500,0.971854290145792,0.9809726175154235,0.9720302957616891,881,202,1762,97493
501,Feature 501,0.8600541666239215,0.8719076038450096,0.8594722985935144,173,16,346,97493
502,Feature 502,,,,95,7,0,97493
503,Feature 503,0.9894588090355492,0.9920928927958131,0.9886769204752557,1124,303,2248,97493
504,Feature 504,0.7648506447676294,0.781467413479583,0.7648815871842528,3483,1058,6966,97493
505,Feature 505,0.7035383108509909,0.6918408321866535,0.701668094607576,1156,333,2312,97493
506,Feature 506,,,,22,8,0,97493
507,Feature 507,0.687664501518907,0.8183427939724929,0.6843151960523064,1163,264,2326,97493
508,Feature 508,0.8040632857822452,0.9094020486713909,0.7942904328405236,753,133,1506,97493
509,Feature 509,0.9484618286502793,0.9653170462787781,0.9527168599033122,831,215,1662,97493
510,Feature 510,0.9303578544445985,0.9562069124932392,0.9291314159915752,1285,363,2570,97493
511,Feature 511,0.6933786563850496,0.6929866578475599,0.6923688480066729,1513,329,3026,97493
512,Feature 512,0.7821638904036298,0.7825630446637103,0.7764373463109483,1210,300,2420,97493
513,Feature 513,0.9930411747646297,0.994221786809834,0.9954854887425463,812,218,1624,97493
514,Feature 514,0.7993703682997263,0.8090401303593356,0.7987271643164688,2061,479,4122,97493
515,Feature 515,0.9642047067434137,0.983382240781972,0.9553249267243296,195,30,390,97493
516,Feature 516,0.8273846546379974,0.846408019590553,0.8253991967698828,2387,663,4774,97493
517,Feature 517,0.9969540835731875,0.9983357614856871,0.9975018984334798,340,78,680,97493
518,Feature 518,0.7211033078762115,0.8283453861013237,0.7228037361781495,2450,826,4900,97493
519,Feature 519,0.9576124914016821,0.984578965778695,0.9595422275114904,87,21,174,97493
520,Feature 520,0.8994046625464442,0.8851410572449518,0.8893848466290941,3364,784,6728,97493
521,Feature 521,0.8717720165520928,0.8680965218848443,0.8666641417966974,1370,410,2740,97493
522,Feature 522,0.8922632072638521,0.8783802572896693,0.8974127757862558,1695,389,3390,97493
523,Feature 523,0.7561280294181961,0.7908961473365044,0.7603904453638406,1613,295,3226,97493
524,Feature 524,0.7825415697504331,0.7989124281448982,0.7843425030293831,4467,1225,8934,97493
525,Feature 525,0.910446588702625,0.9424012073764139,0.9125928231579884,1079,215,2158,97493
526,Feature 526,0.7847622605835718,0.8335035111107336,0.8019588841998602,144,29,288,97493
527,Feature 527,0.9418379332984691,0.9701905641657258,0.9468130965821615,193,63,386,97493
528,Feature 528,0.7215653060053147,0.786707391100909,0.6893336495805733,228,54,456,97493
529,Feature 529,0.805422164680567,0.807923877537247,0.8029414604148251,2741,629,5482,97493
530,Feature 530,0.6298000976352043,0.7139374254028511,0.6335167768696867,568,97,1136,97493
531,Feature 531,0.9711258873831528,0.962560250142664,0.9759923008315334,167,46,334,97493
532,Feature 532,0.9396702738194962,0.9788173164639403,0.9384509481234968,330,135,660,97493
533,Feature 533,0.9364073630236486,0.9226173171136248,0.9384923328381531,2926,664,5852,97493
534,Feature 534,0.9486285886848311,0.9532734920992347,0.9477466852007983,837,212,1674,97493
535,Feature 535,0.9707609360902263,0.9884449049900309,0.9680021509205348,287,106,574,97493
536,Feature 536,0.9371791714972624,0.9657871990068638,0.9354681573970527,39,24,78,97493
537,Feature 537,0.9637216764866285,0.9493677028158031,0.9619234460613035,3262,727,6524,97493
538,Feature 538,0.8716572685141786,0.871394910671558,0.8780037912290992,2682,659,5364,97493
539,Feature 539,0.8780841874160024,0.8872598052794106,0.8697972771947103,98,20,196,97493
540,Feature 540,0.853288921876171,0.911120368202424,0.8503356263069717,265,97,530,97493
541,Feature 541,0.8513242525951205,0.8365850787316272,0.8475702611298881,1463,395,2926,97493
542,Feature 542,0.9352005577931596,0.9343584273231669,0.9356925208424106,1335,226,2670,97493
543,Feature 543,0.901002022121756,0.9457751280090526,0.8936117723534575,391,77,782,97493
544,Feature 544,0.9857837247753956,0.9819657344255308,0.986282949284747,1053,187,2106,97493
545,Feature 545,0.7879574889006464,0.9150940591694198,0.7856433024315059,303,58,606,97493
546,Feature 546,0.9634180243397177,0.9733014798878117,0.9628693339408513,1230,226,2460,97493
547,Feature 547,0.9850311509718885,0.985169613780267,0.9854356580173621,858,187,1716,97493
548,Feature 548,,,,17,4,0,97493
549,Feature 549,0.6039541232518386,0.7029923724820145,0.6012696212972999,125352,28638,250704,97493
550,Feature 550,0.7603935948371656,0.8694809844028584,0.7542237984110203,61,19,122,97493
551,Feature 551,0.9443743906819231,0.9712818769562318,0.9423918620760429,110,48,220,97493
552,Feature 552,0.8508399310264603,0.9013701589561025,0.851426313798552,2190,494,4380,97493
553,Feature 553,0.9100034128590981,0.8999332820736238,0.9095989006751667,2613,592,5226,97493
554,Feature 554,0.748086981961096,0.9007377293502021,0.7513198538340952,609,93,1218,97493
555,Feature 555,0.8740497383721926,0.9060978044253712,0.846404343010197,510,90,1020,97493
556,Feature 556,0.769648650615762,0.7994449001235563,0.7632541020639223,2905,471,5810,97493
557,Feature 557,0.7252164529623545,0.7571110642790605,0.7050446403220848,313,119,626,97493
558,Feature 558,0.866806890342002,0.8873692509519646,0.8654511405216553,567,127,1134,97493
559,Feature 559,0.9114984861055739,0.9512174728199382,0.9146185452965114,487,143,974,97493
560,Feature 560,0.8950591492315939,0.9347080070964179,0.8898544177187664,1163,290,2326,97493
561,Feature 561,0.7803008328088371,0.8445230048618524,0.7777022959253482,213,45,426,97493
562,Feature 562,,,,461,8,0,97493
563,Feature 563,0.9459811491607228,0.9946804144865087,0.937631199789456,71,23,142,97493
564,Feature 564,0.7566115017914827,0.8048953460632903,0.7565863783929553,5537,1080,11074,97493
565,Feature 565,0.9026219544036007,0.9262117909021658,0.9102818911906462,1224,258,2448,97493
566,Feature 566,0.6450833307576721,0.748397074246365,0.6312821437235933,326,97,652,97493
567,Feature 567,0.7165704914534422,0.789057521974256,0.7136486545459334,936,369,1872,97493
568,Feature 568,0.725087856695967,0.8257981703177484,0.7183286040103476,576,37,1152,97493
569,Feature 569,0.7033769028822061,0.7465596127901063,0.7001229724876022,1638,666,3276,97493
570,Feature 570,0.8756556641767586,0.8740220592223719,0.869846374001835,1539,353,3078,97493
571,Feature 571,0.9868344394596178,0.9947159346128978,0.9832527849199476,231,52,462,97493
572,Feature 572,0.9679945236572716,0.9822780190219115,0.968145578700761,921,323,1842,97493
573,Feature 573,0.8846410116964167,0.8643744181066988,0.8851455012985547,2083,467,4166,97493
574,Feature 574,,,,13,2,0,97493
575,Feature 575,0.7048918375841139,0.7048434378398891,0.7054890155431457,1565,374,3130,97493
576,Feature 576,0.7625520065190101,0.8011493522880002,0.7610356606979313,821,244,1642,97493
577,Feature 577,0.6249024404384522,0.7551589211874343,0.6197062646460907,572,275,1144,97493
578,Feature 578,0.9925827129963536,0.9899036379112356,0.9933332032220588,870,245,1740,97493
579,Feature 579,0.9886787706816905,0.9891059752436566,0.9883540093121865,911,225,1822,97493
580,Feature 580,0.7007967001319747,0.8363390495234804,0.7158433326488346,731,197,1462,97493
581,Feature 581,0.9952334873749699,0.993910129679169,0.9962668972142765,457,133,914,97493
582,Feature 582,0.9571497989011291,0.9543258250354404,0.9560871332113643,1348,387,2696,97493
583,Feature 583,0.9919977977447124,0.9975500078603782,0.9926096421537571,1296,305,2592,97493
584,Feature 584,0.6270998940279173,0.6467700516840351,0.6219030544200013,7167,1788,14334,97493
585,Feature 585,0.8083038633515326,0.8480165582092267,0.8154459192064551,849,208,1698,97493
586,Feature 586,0.9446547211095699,0.9600566592383339,0.9451794153209017,3362,794,6724,97493
587,Feature 587,0.9940393841264208,0.9934750685199799,0.9938556949030721,788,199,1576,97493
588,Feature 588,0.6800417429389924,0.6682327185008221,0.6804581963016971,2540,800,5080,97493
589,Feature 589,0.8918860279316049,0.9484665777914141,0.8980151073525185,448,57,896,97493
590,Feature 590,0.9937128827356542,0.9976778134089812,0.9931947056828343,844,200,1688,97493
591,Feature 591,0.8563485793913933,0.8969948173012898,0.8574317565573152,1779,375,3558,97493
592,Feature 592,0.6614322214461731,0.7094848594599272,0.6563576564287676,534,107,1068,97493
593,Feature 593,0.9861788231790455,0.9952497179316169,0.9848136226417327,353,59,706,97493
594,Feature 594,0.9360664494770302,0.9589512319869627,0.9525897885698458,123,14,246,97493
595,Feature 595,0.9138653014508844,0.94696863437958,0.9248550885260043,998,219,1996,97493
596,Feature 596,0.7413020584097372,0.7512086792259574,0.7423910799091473,2681,633,5362,97493
597,Feature 597,0.9191547114900286,0.9605368791547737,0.9116730095952341,124,33,248,97493
598,Feature 598,0.8605621284481899,0.938734235703198,0.8598913473019945,2309,546,4618,97493
599,Feature 599,0.7437524738489647,0.7326663474549177,0.7401117173777294,703,122,1406,97493
600,Feature 600,0.8773418227261927,0.9124247883002433,0.8788521863145782,2744,421,5488,97493
