feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc
249,expressions related to financial fraud and ethical considerations in investment practices,0.9289516397508211,0.9362777659349919,0.9292232410921486
500,Feature 500,0.9988790805797692,0.9983869831376218,0.9989660385760725
501,Feature 501,0.9601251500600241,0.9798982593037215,0.9635594237695078
502,Feature 502,0.9632478247824782,0.972960796079608,0.9681628162816281
503,Feature 503,0.9989496868417987,0.9985920503362185,0.9988869501061439
504,Feature 504,0.9410399342317151,0.9507807229277669,0.940947225697452
505,Feature 505,0.8253623461207268,0.8189804930284716,0.8193652520104453
506,Feature 506,0.0244228019478247,0.053805157535821824,0.02042316191542759
507,Feature 507,0.8530325453648521,0.8684360958894978,0.808139341093023
508,Feature 508,0.6602255796978271,0.8898899099081083,0.6175494205521503
509,Feature 509,0.9995143777368423,0.9999336249431234,0.9994593322258823
510,Feature 510,0.9845675778288113,0.98794441610182,0.9850727662139708
511,Feature 511,0.7445453359474992,0.7215331881655312,0.7429508075853755
512,Feature 512,0.8010018523992511,0.8051519065917824,0.800154429007784
513,Feature 513,0.9995941133479823,0.9997607538146842,0.999568193151081
514,Feature 514,0.9670050813197555,0.970078492773073,0.9672618034284152
515,Feature 515,0.9988858109404144,0.999234405644454,0.9988711489151686
516,Feature 516,0.6841104902491655,0.7684397664695497,0.6775026205263531
517,Feature 517,0.9892343263100717,0.9966787215186255,0.9885385517024501
518,Feature 518,0.7698109102467457,0.8701022490368737,0.7736355222553769
519,Feature 519,,,
520,Feature 520,0.9759130947985496,0.9656868034114033,0.9753516869732475
521,Feature 521,0.8920576313478956,0.8985795775003547,0.8915309903526313
522,Feature 522,0.9865932922577747,0.9898408990081519,0.9809779577216798
523,Feature 523,0.8612594655871709,0.8884381791620639,0.8615522684936258
524,Feature 524,0.8246021345900556,0.8274834852750641,0.8240793432515079
525,Feature 525,,,
526,Feature 526,0.46490975451227445,0.2907694615269237,0.34343382830858465
527,Feature 527,0.9646142456982794,0.9745613245298119,0.9706621648659463
528,Feature 528,0.8120549623235536,0.8078390971111996,0.8063316527619391
529,Feature 529,0.9359277151070879,0.941744411833091,0.9399995471620967
530,Feature 530,0.733194211092443,0.7035310047025984,0.7006702202842894
531,Feature 531,,,
532,Feature 532,0.848157,0.8967594999999999,0.8297924999999999
533,Feature 533,0.9993693923193524,0.9997322697399235,0.9993914479150552
534,Feature 534,0.9985604722062839,0.9986519830909004,0.9984876849361703
535,Feature 535,0.9857841994872989,0.9933424095495373,0.9848784108534506
536,Feature 536,0.9933157487208695,0.9947922795588588,0.9967474546832416
537,Feature 537,0.9913699198915663,0.9909475974118072,0.9914870456210855
538,Feature 538,0.8633456968752898,0.8784893218253528,0.8673303518641571
539,Feature 539,0.9677509746401182,0.9778915798481517,0.9632651482853567
540,Feature 540,0.8270049367508314,0.833009185295148,0.823082209325422
541,Feature 541,0.9977919841161004,0.9976907756479261,0.9978183613939247
542,Feature 542,0.9835019043865563,0.9879976015428182,0.9829395156634002
543,Feature 543,0.9185161930696752,0.968148568212142,0.9230052098529533
544,Feature 544,0.9959640369126197,0.9981489988433444,0.995722986954649
545,Feature 545,0.9429681405884354,0.9572827494649679,0.9442138403304198
546,Feature 546,0.9990801292363984,0.9991039800118101,0.9991959835617689
547,Feature 547,0.9993267375097131,0.9999233947261531,0.999311303508575
548,Feature 548,0.9412266849941227,0.9788020607478801,0.9607473347460748
549,Feature 549,0.7075210327785161,0.782500705768078,0.6960474064303548
550,Feature 550,0.994849426642375,0.995303683063623,0.9945790733397635
551,Feature 551,0.98968794375368,0.9974065736154886,0.9924389952935653
552,Feature 552,0.9865238044256652,0.9870873898224224,0.9863467191366831
553,Feature 553,0.9805298723414044,0.9884559817034391,0.9820694653560778
554,Feature 554,0.7094521513803105,0.8040382993119286,0.7026336355491811
555,Feature 555,0.9914034915827182,0.9933262910545904,0.9917953103275136
556,Feature 556,0.9086313166428499,0.9350482870469076,0.9110807821596438
557,Feature 557,0.7955199107148854,0.8938927316454559,0.7969043107169007
558,Feature 558,0.9018067909747214,0.9328437140819608,0.9060971651865419
559,Feature 559,0.9549938776376525,0.9789393767369435,0.9567734813526101
560,Feature 560,0.9786203722639552,0.984106637756386,0.9786553458071677
561,Feature 561,0.8297281010581905,0.8420831821156379,0.8408524248650471
562,Feature 562,0.7638368060763836,0.9595070715959507,0.7768705646276871
563,Feature 563,0.9871688458346058,0.9886331205320775,0.9747200108310942
564,Feature 564,0.8730542148357565,0.90702305605073,0.8703163403665286
565,Feature 565,0.9537251334019937,0.9667240678001219,0.9557669178071136
566,Feature 566,0.7916838447903594,0.8230281774414773,0.7946978051482206
567,Feature 567,0.7983593649413563,0.8612106479201342,0.7989445174429968
568,Feature 568,0.7022969342682276,0.8400274123403364,0.6958158758611559
569,Feature 569,0.7010400478081841,0.7538159234128695,0.7001580102964364
570,Feature 570,0.8704356427445281,0.8713990700690888,0.8653422233882018
571,Feature 571,0.8857734031885773,0.9205646601920565,0.9217046715921705
572,Feature 572,0.9997339998563313,0.999870832839596,0.999755129739195
573,Feature 573,0.9597797281277557,0.9601637412941206,0.9596970096342827
574,Feature 574,,,
575,Feature 575,0.7878543468020249,0.7831311273045662,0.7839104278531221
576,Feature 576,0.8284762495060196,0.8372240045719949,0.8298951047292553
577,Feature 577,0.6657098397437338,0.7928798410447004,0.6658092655477126
578,Feature 578,0.9956440155299564,0.9953421413829101,0.9956983057763611
579,Feature 579,0.999781651206307,0.9998103141173613,0.9998600999106327
580,Feature 580,0.868751625227532,0.9315364567706146,0.8593646860560478
581,Feature 581,0.9995947488576363,0.9998566671247823,0.9997564039901637
582,Feature 582,0.9903434766333945,0.9909982531190628,0.9901980144585415
583,Feature 583,0.9987149770530752,0.9994645636789883,0.998716165215921
584,Feature 584,0.6829714817558659,0.6961047380110212,0.6735913831862067
585,Feature 585,0.8117605794851289,0.8548615792243875,0.8106636223562901
586,Feature 586,0.9816530487217978,0.9832875032604194,0.9802754589710245
587,Feature 587,0.9995004679728461,0.9997820175568014,0.9994367532075173
588,Feature 588,0.6975397560710954,0.7464470249796032,0.7048942533178266
589,Feature 589,0.6046460081127654,0.552276340656154,0.5781711946830388
590,Feature 590,0.9994281015872402,0.9995179831113216,0.9995412345307847
