feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
249,expressions related to financial fraud and ethical considerations in investment practices,0.9262802183386527,0.9438496657557275,0.9229864493793862,1937,490,3874,100133
500,Feature 500,0.9953576177708375,0.9942696330531738,0.9954529680810204,3037,741,6074,100133
501,Feature 501,0.9392762377785865,0.9461475944948505,0.9363208522926084,259,57,518,100133
502,Feature 502,0.9592672885079251,0.9777286865074211,0.9505087010044702,87,36,174,100133
503,Feature 503,0.9968125541576246,0.9971007638742941,0.9969122999273639,3131,779,6262,100133
504,Feature 504,0.8641929561641857,0.896269942570508,0.8641590254137543,6262,1653,12524,100133
505,Feature 505,0.7791280434431841,0.7903343561003271,0.7717633315667456,1496,372,2992,100133
506,Feature 506,,,,0,0,0,100133
507,Feature 507,,,,20,2,0,100133
508,Feature 508,,,,9,6,0,100133
509,Feature 509,0.9999316512631609,0.9995466976344989,0.9999314960854301,2856,713,5712,100133
510,Feature 510,0.9738846733136257,0.9763170206237253,0.973783099738962,3714,933,7428,100133
511,Feature 511,0.7639558577102759,0.7388631200846324,0.7629300169210288,637,183,1274,100133
512,Feature 512,0.8243223280108184,0.8456510638938277,0.8243540798183737,1641,373,3282,100133
513,Feature 513,0.9982548454083703,0.9995793520145996,0.9987209573679503,2936,734,5872,100133
514,Feature 514,0.9243593074761245,0.9335612968877901,0.9254843943842334,4200,1054,8400,100133
515,Feature 515,0.999139647293861,0.9985992041843558,0.9990006529533931,2880,723,5760,100133
516,Feature 516,0.7416823988892551,0.5989274619679762,0.725140091696383,99,20,198,100133
517,Feature 517,0.9881895781894032,0.9904962247301832,0.9855232209915663,291,96,582,100133
518,Feature 518,0.7285416254290069,0.8378382164130753,0.7287901059902501,1329,185,2658,100133
519,Feature 519,,,,0,0,0,100133
520,Feature 520,0.9543882460238392,0.9405568896517091,0.954753097014756,5527,1351,11054,100133
521,Feature 521,0.8463661233399926,0.8686200222095136,0.8462111662097613,1778,481,3556,100133
522,Feature 522,0.9700756004165685,0.9770957065078819,0.9694475672968808,3947,994,7894,100133
523,Feature 523,0.8400965469240179,0.8741979238592575,0.84876729205495,2756,607,5512,100133
524,Feature 524,0.8024890159122815,0.8117834958780481,0.8115905714218866,4455,1118,8910,100133
525,Feature 525,,,,10,1,0,100133
526,Feature 526,,,,21,3,0,100133
527,Feature 527,0.9954757238841785,0.9956776573867838,0.9951398374550671,431,117,862,100133
528,Feature 528,0.7907594204125167,0.8514482829961785,0.7857558762598982,130,51,260,100133
529,Feature 529,0.8870315349519047,0.8933340617203874,0.88596658789947,4834,1172,9668,100133
530,Feature 530,,,,26,14,0,100133
531,Feature 531,,,,0,0,0,100133
532,Feature 532,,,,11,4,0,100133
533,Feature 533,0.9960247589158278,0.9969822240064109,0.9963342337446979,2964,736,5928,100133
534,Feature 534,0.9982227798371635,0.9984470926239807,0.9985779371992998,2910,737,5820,100133
535,Feature 535,0.9902257352301626,0.9980597706475154,0.9897139091782629,370,97,740,100133
536,Feature 536,0.9754185376544768,0.9699885707436722,0.9950038026177421,96,14,192,100133
537,Feature 537,0.984131685462796,0.9809499683563268,0.9841680798868311,5449,1362,10898,100133
538,Feature 538,0.8581720907439135,0.863936468926306,0.8535800743558672,2011,541,4022,100133
539,Feature 539,0.9966845856333106,0.9990297513938905,0.9979784676937196,262,69,524,100133
540,Feature 540,0.8260821671952503,0.8248838422454119,0.8230825616817016,523,114,1046,100133
