feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
249,expressions related to financial fraud and ethical considerations in investment practices,0.9196463359911738,0.9369964175320435,0.9182702464822636,5133,1647,10266,438325
500,Feature 500,0.9462958512474543,0.9351257498637352,0.9484715571399176,2476,713,4952,438325
501,Feature 501,0.8792484384233596,0.8511834178634745,0.877836190826331,510,185,1020,438325
502,Feature 502,0.980508795208808,0.9909133780741664,0.982453953727959,614,140,1228,438325
503,Feature 503,0.9872056620878084,0.9869469663199544,0.9872751674443634,2978,781,5956,438325
504,Feature 504,0.7529643260955884,0.8459573448188545,0.7620642681771601,21134,6121,42268,438325
505,Feature 505,0.7399527193140181,0.8096954057910468,0.7479639601991431,4372,966,8744,438325
506,Feature 506,0.9956126141336339,0.99811659540682,0.9954700183891472,135,23,270,438325
507,Feature 507,0.6864176517635387,0.7605264525951122,0.6874893353212219,1375,214,2750,438325
508,Feature 508,0.7685159662847678,0.8643793990557418,0.7956040909078941,663,130,1326,438325
509,Feature 509,0.9966430556350311,0.9978121422656976,0.9976365860365819,2030,513,4060,438325
510,Feature 510,0.9301555414328339,0.9496702252968359,0.9303705617182297,5561,1445,11122,438325
511,Feature 511,0.7735335197901969,0.7730905279520952,0.7729542275433972,4376,1106,8752,438325
512,Feature 512,0.8152649947226012,0.8542442697722011,0.8170516379021426,7359,1496,14718,438325
513,Feature 513,0.9936253356630805,0.9950369219276933,0.9932514533791525,2398,627,4796,438325
514,Feature 514,0.764193917583202,0.8314911396178601,0.7652837496471069,12834,3512,25668,438325
515,Feature 515,,,,70,4,0,438325
516,Feature 516,0.8936069249288875,0.9014823282745913,0.894043057252166,2590,945,5180,438325
517,Feature 517,0.9951711384834855,0.9981218925669388,0.995408330311226,2565,760,5130,438325
518,Feature 518,0.7393626880936961,0.8694659232582529,0.7380073303398217,6423,1595,12846,438325
519,Feature 519,0.9811488211563641,0.9910922908052044,0.979798806917602,205,62,410,438325
520,Feature 520,0.9167605915367312,0.9306782340521716,0.9178926855455098,11442,3236,22884,438325
521,Feature 521,0.8564128934788028,0.8689912240277495,0.855658758014703,5061,1398,10122,438325
522,Feature 522,0.9298138920351489,0.9164686203412591,0.9266985497345259,4240,1213,8480,438325
523,Feature 523,0.7700764168442156,0.8183990862773931,0.7679407910493997,5343,1399,10686,438325
524,Feature 524,0.8489648744025874,0.8818242970923751,0.8238324929975039,22238,5886,44476,438325
525,Feature 525,0.9331899085645151,0.941341931103547,0.9348477799687789,1416,605,2832,438325
526,Feature 526,,,,28,20,0,438325
527,Feature 527,0.9797819003355963,0.9905418802588958,0.9806679607014165,1187,331,2374,438325
528,Feature 528,0.8340003199510284,0.8530816666560391,0.823149647810061,1491,73,2982,438325
529,Feature 529,0.8119206192358746,0.855810741621874,0.8168385892812035,10961,2995,21922,438325
530,Feature 530,0.8783673970549133,0.8728800482178197,0.8950241980945997,553,11,1106,438325
531,Feature 531,0.9566829561182254,0.985406153005671,0.9631262281104157,220,63,440,438325
532,Feature 532,0.9614994545325778,0.9677593778705943,0.9599461356008404,143,157,286,438325
533,Feature 533,0.9212060032114923,0.9098069107508377,0.9207800620338538,4074,1607,8148,438325
534,Feature 534,0.9904411559926289,0.9906885644115441,0.9901292592026095,2204,496,4408,438325
535,Feature 535,0.9740480879320709,0.9901222722901692,0.9747228931434011,1373,452,2746,438325
536,Feature 536,0.9851718914571863,0.9950260410222009,0.9846437257494407,172,52,344,438325
537,Feature 537,0.9658816556885206,0.9664994525923009,0.9636853265158166,9511,2775,19022,438325
538,Feature 538,0.8843924930289285,0.9168344538360099,0.8836289654553139,14886,4326,29772,438325
539,Feature 539,0.9982806653518322,0.994696784975428,0.9970665413273156,373,130,746,438325
